,word,sense_index,name,lexname,pos,definition,examples
0,vroom,0,vroom.n.01,noun.event,n,the roaring sound made by a motor that is running at high speed,
1,vroom,1,vroom.v.01,verb.communication,v,"make a loud, roaring sound, as of a car engine, while moving",
0,duck,0,duck.n.01,noun.animal,n,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,
1,duck,1,duck.n.02,noun.quantity,n,(cricket) a score of nothing by a batsman,
2,duck,2,duck.n.03,noun.food,n,flesh of a duck (domestic or wild),
3,duck,3,duck.n.04,noun.artifact,n,a heavy cotton fabric of plain weave; used for clothing and tents,
4,duck,4,duck.v.01,verb.motion,v,to move (the head or body) quickly downwards or away,"Before he could duck, another stone struck him"
5,duck,5,duck.v.02,verb.motion,v,submerge or plunge suddenly,
6,duck,6,dip.v.10,verb.motion,v,dip into a liquid,He dipped into the pool
7,duck,7,hedge.v.01,verb.communication,v,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)",He dodged the issue;she skirted the problem;They tend to evade their responsibilities;he evaded the questions skillfully
0,bird,0,bird.n.01,noun.animal,n,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,
1,bird,1,bird.n.02,noun.food,n,the flesh of a bird or fowl (wild or domestic) used as food,
2,bird,2,dame.n.01,noun.person,n,informal terms for a (young) woman,
3,bird,3,boo.n.01,noun.communication,n,a cry or noise made to express displeasure or contempt,
4,bird,4,shuttlecock.n.01,noun.artifact,n,badminton equipment consisting of a ball of cork or rubber with a crown of feathers,
5,bird,5,bird.v.01,verb.competition,v,watch and study birds in their natural habitat,
0,eye,0,eye.n.01,noun.body,n,the organ of sight,
1,eye,1,eye.n.02,noun.cognition,n,good discernment (either visually or as if visually),she has an eye for fresh talent;he has an artist's eye
2,eye,2,eye.n.03,noun.cognition,n,attention to what is seen,he tried to catch her eye
3,eye,3,center.n.01,noun.location,n,an area that is approximately central within some larger region,it is in the center of town;they ran forward into the heart of the struggle;they were in the eye of the storm
4,eye,4,eye.n.05,noun.artifact,n,a small hole or loop (as in a needle),the thread wouldn't go through the eye
5,eye,5,eye.v.01,verb.perception,v,look at,
0,nose,0,nose.n.01,noun.body,n,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,he has a cold in the nose
1,nose,1,nose.n.02,noun.artifact,n,a front that resembles a human nose (especially the front of an aircraft),the nose of the rocket heated up on reentry
2,nose,2,nose.n.03,noun.artifact,n,the front or forward projection of a tool or weapon,he ducked under the nose of the gun
3,nose,3,nose.n.04,noun.quantity,n,a small distance,my horse lost the race by a nose
4,nose,4,nose.n.05,noun.communication,n,a symbol of inquisitiveness,keep your nose out of it
5,nose,5,nose.n.06,noun.cognition,n,the sense of smell (especially in animals),the hound has a good nose
6,nose,6,nose.n.07,noun.cognition,n,a natural skill,he has a nose for good deals
7,nose,7,nozzle.n.01,noun.artifact,n,a projecting spout from which a fluid is discharged,
8,nose,8,intrude.v.03,verb.perception,v,search or inquire in a meddlesome way,This guy is always nosing around the office
9,nose,9,nose.v.02,verb.motion,v,advance the forward part of with caution,She nosed the car into the left lane
10,nose,10,scent.v.02,verb.perception,v,catch the scent of; get wind of,The dog nosed out the drugs
11,nose,11,nose.v.04,verb.motion,v,push or move with the nose,
12,nose,12,nuzzle.v.02,verb.contact,v,rub noses,
13,nose,13,nose.v.06,verb.competition,v,defeat by a narrow margin,
0,balloon,0,balloon.n.01,noun.artifact,n,large tough nonrigid bag filled with gas or heated air,
1,balloon,1,balloon.n.02,noun.artifact,n,small thin inflatable rubber bag with narrow neck,
2,balloon,2,balloon.v.01,verb.motion,v,ride in a hot-air balloon,He tried to balloon around the earth but storms forced him to land in China
3,balloon,3,balloon.v.02,verb.change,v,become inflated,The sails ballooned
0,quack,0,quack.n.01,noun.person,n,an untrained person who pretends to be a physician and who dispenses medical advice,
1,quack,1,quack.n.02,noun.event,n,the harsh sound of a duck,
2,quack,2,quack.v.01,verb.communication,v,utter quacking noises,The ducks quacked
3,quack,3,quack.v.02,verb.body,v,act as a medical quack or a charlatan,
4,quack,4,quack.s.01,adj.all,s,medically unqualified,a quack doctor
0,car,0,car.n.01,noun.artifact,n,a motor vehicle with four wheels; usually propelled by an internal combustion engine,he needs a car to get to work
1,car,1,car.n.02,noun.artifact,n,a wheeled vehicle adapted to the rails of railroad,three cars had jumped the rails
2,car,2,car.n.03,noun.artifact,n,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,
3,car,3,car.n.04,noun.artifact,n,where passengers ride up and down,the car was on the top floor
4,car,4,cable_car.n.01,noun.artifact,n,a conveyance for passengers or freight on a cable railway,they took a cable car to the top of the mountain
0,hot,0,hot.a.01,adj.all,a,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,hot stove;hot water;a hot August day;a hot stuffy room;she's hot and tired;a hot forehead
1,hot,1,hot.s.02,adj.all,s,characterized by violent and forceful activity or movement; very intense,the fighting became hot and heavy;a hot engagement;a raging battle;the river became a raging torrent
